MID,DISCIPLINE,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100066,HSC,631225568, ,A80, ,813219,FENDALL HALL,FRIENDS OF FENDALL HALL INC, , ,917 W BARBOUR ST,EUFAULA,AL,36027,36027, , , , , ,3346878469,HTTP://PRESERVEALA.ORG/FENDALLHALL.ASPX?SM=G_E,FRIENDS OF FENDALL HALL INC,201412,0,0,0,114 STONE RIDGE RD,EUFAULA,AL,36027-1332,200005, , , , ,-85.1683,31.8911,3,5,4,01,005,114 STONE RIDGE RD,EUFAULA,AL,36027-1332,36027,1,0,1,0,0,0,0,0, 
8400100070,HSC,631188043, ,A80,146696963,813219,CLEMENTS HOUSE,FRIENDS OF HISTORIC NORTHPORT INC, , ,1802 20TH AVE,NORTHPORT,AL,35476,35476, , , , , ,8022084283, ,FRIENDS OF HISTORIC NORTHPORT INC,201412,0,0,0,PO BOX 393,NORTHPORT,AL,35476-0393,199910, , , , ,-87.58354,33.23036,3,5,2,01,125,PO BOX 393,NORTHPORT,AL,35476-0393,35476,1,0,0,0,1,0,0,0, 
8400100073,HSC,237260098, ,A54, , ,CLARKE CO HISTORICAL MUSEUM,CLARKE COUNTY HISTORICAL SOCIETY, , ,116 W COBB ST,GROVE HILL,AL,36451,36451,116 COBB STREET,GROVE HILL,AL,36451,36451,2512752014,HTTP://CLARKECOUNTYAL.COM/,CLARKE COUNTY HISTORICAL SOCIETY,201406,0,0,0,321 E MCLANE ST,OSCEOLA,IA,50213-1452,199212, , , , ,-87.78712,31.68673,3,5,4,01,025,116 COBB STREET,GROVE HILL,AL,36451,36451,1,0,0,0,1,0,0,0, 
8400100075,HSC, , , ,146420893, ,FAYETTE HISTORICAL MUSEUM,FAYETTE HISTORICAL MUSEUM, , ,221 TEMPLE AVE S,FAYETTE,AL,35555,35555, , , , , ,2059048791, , , , , , , , , , , , , , , ,-87.83093,33.68378,3,5,3,01,057,221 TEMPLE AVE S,FAYETTE,AL,35555,35555,0,0,0,0,1,0,0,0, 
8400100077,HSC,237166483, ,A50, , ,CHEROKEE HISTORICAL MUSEUM,CHEROKEE COUNTY HISTORICAL SOCIETY INC, , ,101 E MAIN ST,CENTRE,AL,35960,35960, , , , , ,2569277835,HTTP://WWW.MUSEUMATCENTRE.COM/,CHEROKEE COUNTY HISTORICAL SOCIETY INC,201412,0,0,0,101 E MAIN ST,CENTRE,AL,35960-1516,197210, , , , ,-85.67829,34.15357,3,5,4,01,019,101 E MAIN ST,CENTRE,AL,35960-1516,35960,1,0,0,0,1,0,0,0, 
8400100082,HSC, , , , , ,AMERICAN VILLAGE,AMERICAN VILLAGE, , ,3727 HIGHWAY 119,MONTEVALLO,AL,35115,35115, , , , , ,2056653535,HTTP://WWW.AMERICANVILLAGE.ORG/SITE/PAGESERVER, , , , , , , , , , , , , , ,-86.85865,33.10622,3,5,2,01, ,3727 HIGHWAY 119,MONTEVALLO,AL,35115,35115,0,0,0,0,1,0,0,0, 
8400100083,HSC,631182396, ,A50, ,813219,ALABAMA CONSTITUTION VILLAGE,ALABAMA CONSTITUTION VILLAGE FOUNDATION, , ,109 GATES AVE SE,HUNTSVILLE,AL,35801,35801,109 GATES AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,35801,2565648100,HTTP://WWW.EARLYWORKS.COM/ALABAMA-CONSTITUTION-VILLAGE/,ALABAMA CONSTITUTION VILLAGE FOUNDATION,201409,6,1101454,806811,404 MADISON ST SE,HUNTSVILLE,AL,35801-4203,199701, , , , ,-86.57223,34.72664,3,5,1,01,089,109 GATES AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,35801,1,0,0,0,1,0,0,0, 
8400100084,HSC, , , , , ,BELLE MONT MANSION,BELLE MONT MANSION, , ,12280 AL HWY 20,HILLSBORO,AL,35643,35643,1569 COOK LANE,TUSCUMBIA,AL,35643,35643,2566378513,HTTP://BELLEMONT.WEEBLY.COM/, , , , , , , , , , , , , , ,-87.67689,34.68412,3,5,4,01,033,1569 COOK LANE,TUSCUMBIA,AL,35643,35643,0,0,1,0,0,0,0,0, 
8400100085,HSC, , , , , ,BRAGG-MITCHELL MANSION,BRAGG-MITCHELL MANSION, , ,1906 SPRINGHILL AVENUE,MOBILE,AL,36607,36607, , , , , ,2514716364,HTTP://WWW.BRAGGMITCHELLMANSION.COM/, , , , , , , , , , , , , , ,-88.0876,30.69172,3,5,1,01,097,1906 SPRINGHILL AVENUE,MOBILE,AL,36607,36607,0,0,1,0,0,0,0,0, 
8400100089,HSC,010553804, ,A80, ,712120,HARRIS BARRETT SCHOOL,HARRIS BARRETT SCHOOL INC, , ,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,36083, , , , , , , ,HARRIS BARRETT SCHOOL INC,201309,0,0,0,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,200605, , , , ,-85.76358,32.47951,3,5,4,01,087,1755 COUNTY ROAD 27,TUSKEGEE,AL,36083-3600,36083,1,1,0,0,0,0,0,0, 
8400100091,HSC,113764925, ,A80, , ,PETERMAN HISTORICAL SOCIETY,PETERMAN HISTORICAL SOCIETY, , ,167 MAIN ST,PETERMAN,AL,36471,36471, , , , , , , ,PETERMAN HISTORICAL SOCIETY,201412,0,0,0,167 MAIN ST,PETERMAN,AL,36471-4701,200604, , , , ,-87.26272,31.58501,3,5,4,01,099,167 MAIN ST,PETERMAN,AL,36471-4701,36471,1,1,0,0,0,0,0,0, 
8400100092,HSC,200440925, ,A40, ,813410,ARTSREVIVE,ARTSREVIVE COMMUNITY DEVELOPMENT CORPORATION, , ,PO BOX 2548,SELMA,AL,36702-0967,36702, , , , , ,3348782787,HTTP://ARTSREVIVE.COM/,ARTSREVIVE COMMUNITY DEVELOPMENT CORPORATION,201312,4,206923,206923,PO BOX 2548,SELMA,AL,36702-2548,200406, , , , ,-87.02243,32.40623,3,5,3,01,047,PO BOX 2548,SELMA,AL,36702-2548,36702,1,0,0,1,0,0,0,0, 
8400100097,HSC,201529088, ,A80, , ,COLLINSVILLE HISTORICAL ASSOCIATION,COLLINSVILLE HISTORICAL ASSOCIATION INC, , ,PO BOX 849,COLLINSVILLE,AL,35961-0849,35961, , , , , , ,HTTP://WWW.GEMOFTHEVALLEY.NET/,COLLINSVILLE HISTORICAL ASSOCIATION INC,201412,0,0,0,PO BOX 849,COLLINSVILLE,AL,35961-0849,200411, , , , ,-85.86513,34.26189,3,5,4,01,049,PO BOX 849,COLLINSVILLE,AL,35961-0849,35961,1,1,0,0,0,0,0,0, 
8400100100,HSC,201991965, ,A80, ,813410,HENRY COUNTY VETERANS MEMORIAL PARK,HENRY COUNTY VETERANS MEMORIAL PARK, , ,PO BOX 115,SHORTERVILLE,AL,36373-0115,36373, , , , , , , ,HENRY COUNTY VETERANS MEMORIAL PARK,201312,1,9804,9804,PO BOX 115,SHORTERVILLE,AL,36373-0115,200503, , , , ,-85.12046,31.53708,3,5,4,01,067,PO BOX 115,SHORTERVILLE,AL,36373-0115,36373,1,1,0,0,0,0,0,0, 
8400100104,HSC,203185948, ,A80, ,712120,BARBOUR COUNTY GOVERNORS TRAIL,BARBOUR COUNTY GOVERNORS TRAIL COUNCIL INC, , ,PO BOX 403,CLAYTON,AL,36016-0403,36016, , , , , , , ,BARBOUR COUNTY GOVERNORS TRAIL COUNCIL INC,201312,0,0,0,PO BOX 403,CLAYTON,AL,36016-0403,200512, , , , ,-85.43541,31.84169,3,5,4,01,005,PO BOX 403,CLAYTON,AL,36016-0403,36016,1,1,0,0,0,0,0,0, 
8400100108,HSC,204599041, ,A80, , ,GARDENDALE HISTORICAL SOCIETY,GARDENDALE HISTORICAL SOCIETY INC, , ,PO BOX 1044,GARDENDALE,AL,35071-1044,35071, , , , , ,2056315662, ,GARDENDALE HISTORICAL SOCIETY INC,201412,0,0,0,PO BOX 1044,GARDENDALE,AL,35071-1044,201304, , , , ,-86.83788,33.69468,3,5,4,01,073,PO BOX 1044,GARDENDALE,AL,35071-1044,35071,1,1,0,0,0,0,0,0, 
8400100109,HSC,205235080, ,A80, ,712120,HISTORIC RESTORATION SOCIETY,HISTORIC RESTORATION SOCIETY INC, ,HISTORIC RESTORATION SOCIETY INC C/O DAVID J COOPER SR,PO BOX 70047,MOBILE,AL,36670-1047,36670,PO BOX 70047,MOBILE,AL,36670-1047,36670, , ,HISTORIC RESTORATION SOCIETY INC,201406,0,0,0,C/O DAVID J COOPER SR,MOBILE,AL,36607-0000,200702, , , , ,-88.10617,30.69597,3,5,1,01,097,PO BOX 70047,MOBILE,AL,36670-1047,36670,1,1,0,0,0,0,0,0, 
8400100111,HSC,205588114, ,A80, , ,CULLMAN COUNTY HISTORICAL SOCIETY,CULLMAN COUNTY HISTORICAL SOCIETYINC, , ,PO BOX 804,CULLMAN,AL,35056-0804,35056, , , , , , , ,CULLMAN COUNTY HISTORICAL SOCIETYINC,201112,0,0,0,PO BOX 804,CULLMAN,AL,35056-0804,200808, , , , ,-86.85111,34.18014,3,5,3,01,043,PO BOX 804,CULLMAN,AL,35056-0804,35056,1,1,0,0,0,0,0,0, 
8400100114,HSC,205702017, ,A82, , ,OAKVILLE INDIAN MOUNDS,FRIENDS OF OAKVILLE INDIAN MOUNDS, , ,1219 COUNTRY ROAD 187,DANVILLE,AL,35619,35619, , , , , ,2569052494,HTTP://WWW.OAKVILLEINDIANMOUNDS.COM/, , , , , , , , , , , , , , ,-87.18117,34.43827,3,5,4,01,079,1219 COUNTRY ROAD 187,DANVILLE,AL,35619,35619,0,0,0,1,0,0,0,0, 
8400100115,HSC,208457213, ,A82, , ,AUBURN PRESERVATION LEAGUE,AUBURN PRESERVATION LEAGUE, , ,PO BOX 2945,AUBURN,AL,36831-2945,36831, , , , , , , ,AUBURN PRESERVATION LEAGUE,201312,0,0,0,PO BOX 2945,AUBURN,AL,36831-2945,200805, , , , ,-85.47712,32.61251,3,5,1,01,081,PO BOX 2945,AUBURN,AL,36831-2945,36831,1,1,0,0,0,0,0,0, 
8400100118,HSC,208934192, , , , ,HISTORIC DOWNTOWN ANNISTON BUSINESS ASSOCIATION,HISTORIC DOWNTOWN ANNISTON BUSINESS ASSOCIATION, , ,1012 NOBLE STREET,ANNISTON,AL,36201,36201, , , , , , , , , , , , , , , , , , , , , ,-85.82986,33.65731,3,5,1,01,015,1012 NOBLE STREET,ANNISTON,AL,36201,36201,0,1,0,0,0,0,0,0, 
8400100123,HSC,237061795, , , , ,FAYETTE COUNTY HISTORICAL SOCIETY,FAYETTE COUNTY HISTORICAL SOCIETY INC, , ,PO BOX 534,FAYETTE,AL,35555,35555, , , , , , ,HTTP://FAYETTEHISTORICALSOCIETY.COM,FAYETTE COUNTY HISTORICAL SOCIETY INC,201112,0,0,0,PO BOX 534,FAYETTE,AL,35555-0534,197003, , , , ,-87.82637,33.68683,3,5,3,01,057,PO BOX 534,FAYETTE,AL,35555-0534,35555,1,1,0,0,1,0,0,0, 
8400100129,HSC,237201048, ,A82, , ,WEST JEFFERSON COUNTY HISTORICAL SOCIETY,WEST JEFFERSON COUNTY HISTORICAL SOCIETY INC, , ,PO BOX 184,BESSEMER,AL,35021-0184,35021,1740 EASTERN VALLEY ROAD,BESSEMER,AL,35021-0184,35021,3342065418,HTTP://WWW.JEFFCOHISTORY.COM/,WEST JEFFERSON COUNTY HISTORICAL SOCIETY INC,201406,1,5233,5233,PO BOX 184,BESSEMER,AL,35021-0184,197303, , , , ,-86.9849,33.3455,3,5,2,01,073,1740 EASTERN VALLEY ROAD,BESSEMER,AL,35021-0184,35021,1,1,0,0,0,0,0,0, 
8400100130,HSC,237227476, ,A82, , ,LEE COUNTY HISTORICAL SOCIETY,LEE COUNTY HISTORICAL SOCIETY, , ,PO BOX 206,LOACHAPOKA,AL,36865-0206,36865,6500 STAGE RD,LOACHAPOKA,AL,36865-0206,36865,3348873007,HTTP://WWW.LEECOUNTYHISTORICALSOCIETY.ORG/,LEE COUNTY HISTORICAL SOCIETY,201312,3,61919,50467,PO BOX 206,LOACHAPOKA,AL,36865-0206,197204, , , , ,-85.59934,32.60443,3,5,4,01,081,6500 STAGE RD,LOACHAPOKA,AL,36865-0206,36865,1,1,0,0,0,0,0,0, 
8400100131,HSC,237259371, ,A82, , ,LANDMARKS OF DEKALB COUNTY,LANDMARKS OF DEKALB COUNTY INC, , ,PO BOX 680518,FORT PAYNE,AL,35968-1619,35968, , , , , , , ,LANDMARKS OF DEKALB COUNTY INC,201407,0,0,0,PO BOX 680518,FORT PAYNE,AL,35968-1619,197301, , , , ,-85.76825,34.47746,3,5,4,01,049,PO BOX 680518,FORT PAYNE,AL,35968-1619,35968,1,1,0,0,0,0,0,0, 
8400100132,HSC,237269474, ,A82, , ,SELMA DALLAS COUNTY HISTORIC PRESERVATION SOCIETY,SELMA DALLAS COUNTY HISTORIC PRESERVATION SOCIETY, , ,PO BOX 586,SELMA,AL,36702-0586,36702, , , , , ,3348746600,HTTP://HISTORICSELMA.ORG/,SELMA DALLAS COUNTY HISTORIC PRESERVATION SOCIETY,201312,3,86280,34600,PO BOX 586,SELMA,AL,36702-0586,197403, , , , ,-87.02243,32.40623,3,5,3,01,047,PO BOX 586,SELMA,AL,36702-0586,36702,1,1,0,0,0,0,0,0, 
8400100133,HSC,237281907, ,A80, ,712120,PEA RIVER HISTORICAL & GENEALOGICAL SOCIETY,PEA RIVER HISTORICAL & GENEALOGICAL SOCIETY, , ,PO BOX 310628,ENTERPRISE,AL,36331,36331,108 S MAIN STREET,ENTERPRISE,AL,36331,36331,3343932901,HTTP://WWW.PEARIVER.ORG/,PEA RIVER HISTORICAL & GENEALOGICAL SOCIETY,201406,0,0,0,PO BOX 310628,ENTERPRISE,AL,36331-0628,197602, , , , ,-85.85463,31.31533,3,5,3,01,031,108 S MAIN STREET,ENTERPRISE,AL,36331,36331,1,1,0,0,0,0,0,0, 
8400100135,HSC,237366837, , , , ,ST CLAIR HISTORICAL SOCIETY,ST CLAIR HISTORICAL SOCIETY INC, , ,150 WARE AVENUE,ODENVILLE,AL,35120-3512,35120, , , , , , , ,ST CLAIR HISTORICAL SOCIETY INC,201405,0,0,0,150 WARE AVE,ODENVILLE,AL,35120-3016,197703, , , , ,-86.39394,33.68029,3,5,4,01,115,150 WARE AVE,ODENVILLE,AL,35120-3016,35120,1,1,0,0,0,0,0,0, 
8400100136,HSC,237380532, ,A82, , ,TWICKENHAM HISTORIC PRESERVATION DISTRICT ASSOCIATION,TWICKENHAM HISTORIC PRESERVATION DISTRICT ASSOCIATION, , ,300 GATES AVE SE,HUNTSVILLE,AL,35801-3101,35801, , , , , ,2565367718, ,TWICKENHAM HISTORIC PRESERVATION DISTRICT ASSOCIATION,201406,4,124168,124168,300 GATES AVE SE,HUNTSVILLE,AL,35801-3101,197406, , , , ,-86.58248,34.72973,3,5,1,01,089,300 GATES AVE SE,HUNTSVILLE,AL,35801-3101,35801,1,1,0,0,1,0,0,0, 
8400100138,HSC,237410066, ,A82, , ,ESCAMBIA COUNTY HISTORICAL SOCIETY,ESCAMBIA COUNTY HISTORICAL SOCIETY, , ,PO BOX 276,BREWTON,AL,36427,36427, , , , , ,2518091528,HTTP://WWW.ESCOHIS.ORG/, , , , , , , , , , , , , , ,-87.07114,31.10792,3,5,3,01,053,PO BOX 276,BREWTON,AL,36427,36427,0,1,0,0,0,0,0,0, 
8400100139,HSC,237420825, ,A82, , ,TALLEDEGA HISTORICAL ASSOCIATION,TALLEDEGA HISTORICAL ASSOCIATION INC, , ,PO BOX 1042,TALLADEGA,AL,35162,35162, , , , , , , ,TALLEDEGA HISTORICAL ASSOCIATION INC,201412,0,0,0,PO BOX 1042,TALLADEGA,AL,35161-1042,197602, , , , ,-86.10313,33.43764,3,5,3,01,121,PO BOX 1042,TALLADEGA,AL,35161-1042,35161,1,1,0,0,0,0,0,0, 
8400100142,HSC,261683010, ,A80, ,712120,HOLLY POND HISTOICAL SOCIETY,HOLLY POND HISTOICAL SOCIETY, , ,3425 COUNTY ROAD 1650,HOLLY POND,AL,35083-6326,35083, , , , , , , ,HOLLY POND HISTOICAL SOCIETY,201411,0,0,0,3425 COUNTY ROAD 1650,HOLLY POND,AL,35083-6326,201305, , , , ,-86.62915,34.18191,3,5,4,01,043,3425 COUNTY ROAD 1650,HOLLY POND,AL,35083-6326,35083,1,1,0,0,0,0,0,0, 
8400100143,HSC,261731941, ,A80, ,712120,VALORS VOICE,VALORS VOICE INC, , ,490 HARDING ROAD,ARAB,AL,35016-4047,35016, , , , , ,2563022616, ,VALORS VOICE INC,201412,0,0,0,490 HARDING RD,ARAB,AL,35016-4047,200806, , , , ,-86.43677,34.36233,3,5,3,01,095,490 HARDING RD,ARAB,AL,35016-4047,35016,1,1,0,0,0,0,0,0, 
8400100144,HSC,261819848, ,A20, ,711130,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER INC, , ,730 8TH AVE W,BIRMINGHAM,AL,35204-3551,35204, , , , , ,2054472208,HTTP://WWW.ALABAMAGOSPELCENTER.ORG,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER INC,201312,2,21884,21884,730 8TH AVE W,BIRMINGHAM,AL,35204-3510,200805, , , , ,-86.84821,33.5115,3,5,1,01,073,730 8TH AVE W,BIRMINGHAM,AL,35204-3510,35204,1,0,0,1,1,0,0,0, 
8400100148,HSC,262945770, ,A80, , ,IRONDALE AL HISTORICAL SOCIETY,IRONDALE AL HISTORICAL SOCIETY, , ,1910 1ST AVE SOUTH,IRONDALE,AL,35210-1503,35210, , , , , , ,HTTP://IRONDALETODAY.COM/?P=129,IRONDALE AL HISTORICAL SOCIETY,201312,0,0,0,1910 1ST AVE S,IRONDALE,AL,35210-1503,200903, , , , ,-86.70836,33.53794,3,5,2,01,073,1910 1ST AVE S,IRONDALE,AL,35210-1503,35210,1,1,0,0,0,0,0,0, 
8400100153,HSC,263821641, ,A80, , ,ALABAMA CITY HISTORICAL ASSOCIATION,ALABAMA CITY HISTORICAL ASSOCIATION, , ,PO BOX 4205,GADSDEN,AL,35904-0205,35904, , , , , , , ,ALABAMA CITY HISTORICAL ASSOCIATION,201406,0,0,0,PO BOX 4205,GADSDEN,AL,35904-0205,201307, , , , ,-86.08196,33.99526,3,5,1,01,055,PO BOX 4205,GADSDEN,AL,35904-0205,35904,1,1,0,0,0,0,0,0, 
8400100154,HSC,263935409, ,A80, , ,VREDENBURGH HISTORICAL SOCIETY,VREDENBURGH HISTORICAL SOCIETY INC, , ,176 STEWART CIRCLE,VREDENBURGH,AL,36481,36481, , , , , , , ,VREDENBURGH HISTORICAL SOCIETY INC,201312,0,0,0,176 STEWART CIRCLE,VREDENBURGH,AL,36481-0000,200912, , , , ,-87.37517,31.8139,3,5,4,01, ,176 STEWART CIRCLE,VREDENBURGH,AL,36481-0000,36481,1,1,0,0,0,0,0,0, 
8400100156,HSC,264262985, ,A80, , ,SPRUCE PINE HISTORICAL SOCIETY,SPRUCE PINE HISTORICAL SOCIETY, , ,PO BOX 32,SPRUCE PINE,AL,35585-0032,35585,PO BOX 32,SPRUCE PINE,AL,35585-0032,35585, , ,SPRUCE PINE HISTORICAL SOCIETY,201312,3,31896,31896,9312 HIGHWAY 22,SPRUCE PINE,AL,35585-4722,200907, , , , ,-87.78503,34.41417,3,5,4,01,059,PO BOX 32,SPRUCE PINE,AL,35585-0032,35585,1,1,0,0,0,0,0,0, 
8400100157,HSC,270148450, ,A80, , ,ST FLORIAN HISTORICAL PRESERVATION SOCIETY,ST FLORIAN HISTORICAL PRESERVATION SOCIETY INC, , ,57 SAINT FLORIAN RD,FLORENCE,AL,35630-8881,35630, , , , , , , ,ST FLORIAN HISTORICAL PRESERVATION SOCIETY INC,201406,1,450,450,57 SAINT FLORIAN RD,FLORENCE,AL,35630-8881,201101, , , , ,-87.62379,34.87336,3,5,4,01,077,57 SAINT FLORIAN RD,FLORENCE,AL,35630-8881,35630,1,1,0,0,0,0,0,0, 
8400100158,HSC,270546635, , , , ,VINCENT HISTORICAL AND ENVIRONMENTAL SOCIETY,VINCENT HISTORICAL AND ENVIRONMENTAL SOCIETY INC, , ,PO BOX 299,VINCENT,AL,35178,35178, , , , , , , , , , , , , , , , , , , , , ,-86.39859,33.41177,3,5,4,01,117,PO BOX 299,VINCENT,AL,35178,35178,0,1,0,0,0,0,0,0, 
8400100159,HSC,271257620, ,A80, , ,PICKENS COUNTY COURTHOUSE,PICKENS COUNTY COURTHOUSE PRESERVATION FOUNDATION INC, ,PICKENS COUNTY COURTHOUSE PRESERVATION FOUNDATION INC,PO BOX 382,CARROLLTON,AL,35447-0382,35447, , , , , , ,HTTP://WWW.COURTHOUSEWINDOW.COM/THE-COURTHOUSE.HTML,PICKENS COUNTY COURTHOUSE PRESERVATION FOUNDATION INC,201212,0,0,0,PO BOX 382,CARROLLTON,AL,35447-0382,201007, , , , ,-88.1561,33.25027,3,5,4,01,107,PO BOX 382,CARROLLTON,AL,35447-0382,35447,1,1,0,0,1,0,0,0, 
8400100160,HSC,271306768, ,A82, ,711120,DIVINE DESTINYS DANCE,DANCE LEVELS, , ,PO BOX,BIRMINGHAM,AL,35220,35220, , , , , , , ,DANCE LEVELS,201406,0,0,0,5045 GOLD LEAF LN,PINSON,AL,35126-2888,201210, , , , ,-86.65841,33.72529,3,5,4,01,073,5045 GOLD LEAF LN,PINSON,AL,35126-2888,35126,1,1,0,0,0,0,0,0, 
